is_extra,ser_num,borough,sex,race,age_bucket,was_frisked,contraband_found,gun_found,weapon_found,arrest_made,summons_issued,physical_force_used,reason_for_stop_2,was_frisked,reason_for_frisk
0,5617,Brooklyn,Male,White Hispanic,16 to 19,Frisked,No contraband found,No gun found,No weapon found,No arrest made,No summons issued,Force not used,Furtive movements,Frisked,Furtive movements
0,9393,Bronx,Male,White Hispanic,16 to 19,Frisked,No contraband found,No gun found,No weapon found,No arrest made,No summons issued,Force not used,Furtive movements,Frisked,Furtive movements
0,3049,Queens,Male,White Hispanic,16 to 19,Frisked,No contraband found,No gun found,No weapon found,Arrest made,No summons issued,Force used,Furtive movements,Frisked,Furtive movements
0,5157,Brooklyn,Male,Black,16 to 19,Frisked,No contraband found,No gun found,No weapon found,No arrest made,No summons issued,Force used,Furtive movements,Frisked,Furtive movements
0,1537,Bronx,Male,Other,16 to 19,Frisked,No contraband found,No gun found,No weapon found,No arrest made,No summons issued,Force not used,Furtive movements,Frisked,Furtive movements
0,5928,Bronx,Male,Black,16 to 19,Frisked,No contraband found,No gun found,No weapon found,No arrest made,No summons issued,Force not used,Furtive movements,Frisked,Furtive movements
0,9318,Staten Island,Male,White Hispanic,16 to 19,Frisked,No contraband found,No gun found,No weapon found,No arrest made,No summons issued,Force not used,Furtive movements,Frisked,Furtive movements
0,1770,Bronx,Male,White Hispanic,16 to 19,Frisked,No contraband found,No gun found,No weapon found,No arrest made,No summons issued,Force not used,Suspect acting as a lookout,Frisked,Furtive movements
0,1981,Queens,Female,Black,16 to 19,Frisked,No contraband found,No gun found,No weapon found,No arrest made,No summons issued,Force not used,Actions indicative of a drug transaction,Frisked,Inappropriate attire for season
0,8118,Staten Island,Male,Asian/Pacific Islander,16 to 19,Frisked,No contraband found,No gun found,No weapon found,No arrest made,No summons issued,Force not used,Carrying suspicious object,Frisked,Inappropriate attire for season
0,739,Bronx,Male,Black,16 to 19,Frisked,No contraband found,No gun found,No weapon found,No arrest made,No summons issued,Force not used,Casing a victim or location,Frisked,Inappropriate attire for season
0,751,Queens,Male,White Hispanic,16 to 19,Frisked,No contraband found,No gun found,No weapon found,No arrest made,No summons issued,Force not used,Casing a victim or location,Frisked,Inappropriate attire for season
0,2839,Staten Island,Male,Black,16 to 19,Frisked,No contraband found,No gun found,No weapon found,No arrest made,No summons issued,Force used,Fits a relevant description,Frisked,Inappropriate attire for season
