race,was_frisked
Black Hispanic,Frisked
Black Hispanic,Frisked
Black Hispanic,Frisked
Black Hispanic,Frisked
Black Hispanic,Frisked
Black Hispanic,Frisked
Black Hispanic,Frisked
Black Hispanic,Frisked
Black Hispanic,Frisked
Black Hispanic,Frisked
Black Hispanic,Frisked
Black Hispanic,Frisked
Black Hispanic,Frisked
Black Hispanic,Not frisked
Black Hispanic,Not frisked
Black Hispanic,Not frisked
Black Hispanic,Not frisked
Black Hispanic,Not frisked
Black Hispanic,Not frisked
Black Hispanic,Not frisked
Black Hispanic,Not frisked
Black Hispanic,Not frisked
Black Hispanic,Not frisked
Black Hispanic,Not frisked
Black Hispanic,Not frisked
Black Hispanic,Not frisked
Black Hispanic,Not frisked
Black Hispanic,Not frisked
Black Hispanic,Not frisked
Black Hispanic,Not frisked
Black Hispanic,Not frisked
Black Hispanic,Not frisked
Black Hispanic,Not frisked
Black Hispanic,Not frisked
Black Hispanic,Not frisked
Black Hispanic,Not frisked
White Hispanic,Not frisked
White Hispanic,Not frisked
White Hispanic,Not frisked
White Hispanic,Not frisked
White Hispanic,Not frisked
White Hispanic,Not frisked
White Hispanic,Not frisked
White Hispanic,Not frisked
White Hispanic,Not frisked
White Hispanic,Not frisked
White Hispanic,Not frisked
White Hispanic,Not frisked
White Hispanic,Not frisked
White Hispanic,Not frisked
White Hispanic,Not frisked
White Hispanic,Not frisked
White Hispanic,Not frisked
White Hispanic,Not frisked
White Hispanic,Not frisked
White Hispanic,Not frisked
White Hispanic,Not frisked
White Hispanic,Not frisked
White Hispanic,Not frisked
White Hispanic,Not frisked
White Hispanic,Not frisked
White Hispanic,Not frisked
White Hispanic,Not frisked
White Hispanic,Not frisked
White Hispanic,Not frisked
White Hispanic,Not frisked
White Hispanic,Not frisked
White Hispanic,Not frisked
White Hispanic,Not frisked
White Hispanic,Not frisked
White Hispanic,Not frisked
White Hispanic,Not frisked
White Hispanic,Not frisked
White Hispanic,Not frisked
White Hispanic,Not frisked
White Hispanic,Not frisked
White Hispanic,Not frisked
White Hispanic,Not frisked
White Hispanic,Not frisked
White Hispanic,Not frisked
White Hispanic,Not frisked
White Hispanic,Not frisked
White Hispanic,Not frisked
White Hispanic,Not frisked
White Hispanic,Not frisked
White Hispanic,Not frisked
White Hispanic,Not frisked
White Hispanic,Not frisked
White Hispanic,Not frisked
White Hispanic,Not frisked
White Hispanic,Not frisked
White Hispanic,Not frisked
White Hispanic,Not frisked
White Hispanic,Not frisked
White Hispanic,Not frisked
White Hispanic,Not frisked
White Hispanic,Not frisked
White Hispanic,Not frisked
White Hispanic,Not frisked
White Hispanic,Not frisked
White Hispanic,Not frisked
White Hispanic,Not frisked
White Hispanic,Not frisked
