is_extra,ser_num,datestop,timestop,borough,sex,race,age,age_bucket,was_frisked,contrabn,contraband_found,pistol,riflshot,asltweap,knifcuti,machgun,othrweap,gun_found,weapon_found,arrest_made,sumissue,summons_issued,perobs,perstop,pf_hands,pf_wall,pf_grnd,pf_drwep,pf_ptwep,pf_baton,pf_hcuff,pf_pepsp,pf_other,physical_force_used,cs_objcs,cs_descr,cs_casng,cs_lkout,cs_cloth,cs_drgtr,cs_furtv,cs_vcrim,cs_bulge,cs_other,reason_for_stop_2,rf_vcrim,rf_othsw,rf_attir,rf_vcact,rf_rfcmp,rf_verbl,rf_knowl,rf_furt,rf_bulg,was_frisked,reason_for_frisk,xcoord,ycoord
0,7862,9142012,303,Brooklyn,Female,Black,18,16 to 19,Not frisked,0,No contraband found,0,0,0,0,0,0,No gun found,No weapon found,No arrest made,0,No summons issued,1,5,0,0,0,0,0,0,0,0,0,Force not used,0,1,0,0,0,0,0,0,0,0,Fits a relevant description,0,0,0,0,0,0,0,0,0,Not frisked,do_not_include,1001341,189799
0,5745,5252012,1300,Brooklyn,Female,Black,16,16 to 19,Not frisked,0,No contraband found,0,0,0,0,0,0,No gun found,No weapon found,No arrest made,0,No summons issued,1,3,0,0,0,0,0,0,0,0,0,Force not used,0,1,0,0,0,0,0,0,0,0,Fits a relevant description,0,0,0,0,0,0,0,0,0,Not frisked,do_not_include,1002810,186101
0,7446,8312012,1505,Queens,Male,Black,16,16 to 19,Not frisked,0,No contraband found,0,0,0,0,0,0,No gun found,No weapon found,No arrest made,0,No summons issued,1,3,0,0,0,0,0,0,0,0,0,Force not used,0,1,1,1,0,0,0,0,0,0,Fits a relevant description,0,0,0,0,0,0,0,0,0,Not frisked,do_not_include,1032246,214265
0,474,2092012,1908,Manhattan,Male,Black,17,16 to 19,Not frisked,0,No contraband found,0,0,0,0,0,0,No gun found,No weapon found,No arrest made,0,No summons issued,1,5,0,0,0,0,0,0,0,0,0,Force not used,0,0,0,0,0,0,1,0,0,0,Furtive movements,0,0,0,0,0,0,0,0,0,Not frisked,do_not_include,989174,221220
0,4439,10082012,1048,Manhattan,Male,Other,18,16 to 19,Not frisked,0,No contraband found,0,0,0,0,0,0,No gun found,No weapon found,No arrest made,0,No summons issued,1,2,0,0,0,0,0,0,0,0,0,Force not used,0,0,0,0,0,0,1,0,0,0,Furtive movements,0,0,0,0,0,0,0,0,0,Not frisked,do_not_include,991775,203506
0,3191,4222012,1930,Manhattan,Female,Black,16,16 to 19,Not frisked,0,No contraband found,0,0,0,0,0,0,No gun found,No weapon found,No arrest made,0,No summons issued,1,1,0,0,0,0,0,0,0,0,0,Force not used,0,0,0,0,0,0,1,0,0,0,Furtive movements,0,0,0,0,0,0,0,0,0,Not frisked,do_not_include,1003621,230470
0,6721,6162012,255,Brooklyn,Male,Black,18,16 to 19,Not frisked,0,No contraband found,0,0,0,0,0,0,No gun found,No weapon found,No arrest made,0,No summons issued,2,5,0,0,0,0,0,0,0,0,0,Force not used,0,0,0,0,0,0,1,0,0,0,Furtive movements,0,0,0,0,0,0,0,0,0,Not frisked,do_not_include,1005356,179248
0,22937,11202012,230,Manhattan,Female,Black,17,16 to 19,Not frisked,0,No contraband found,0,0,0,0,0,0,No gun found,No weapon found,No arrest made,0,No summons issued,2,5,0,0,0,0,0,0,0,0,0,Force not used,0,0,0,0,0,0,1,0,0,0,Furtive movements,0,0,0,0,0,0,0,0,0,Not frisked,do_not_include,1019219,183357
0,3507,11092012,2018,Brooklyn,Male,Black,17,16 to 19,Not frisked,0,No contraband found,0,0,0,0,0,0,No gun found,No weapon found,No arrest made,0,No summons issued,2,5,0,0,0,0,0,0,0,0,0,Force not used,0,0,0,0,0,0,0,0,0,1,Other,0,0,0,0,0,0,0,0,0,Not frisked,do_not_include,989470,188146
0,4229,8222012,2048,Bronx,Male,White Hispanic,17,16 to 19,Not frisked,0,No contraband found,0,0,0,0,0,0,No gun found,No weapon found,Arrest made,0,No summons issued,1,5,0,0,0,0,0,0,0,0,0,Force not used,0,0,0,0,0,0,0,0,0,1,Other,0,0,0,0,0,0,0,0,0,Not frisked,do_not_include,1020596,255513
0,4215,4012012,950,Bronx,Male,Black,17,16 to 19,Not frisked,0,No contraband found,0,0,0,0,0,0,No gun found,No weapon found,No arrest made,0,No summons issued,1,10,0,0,0,0,0,0,0,0,0,Force not used,0,0,0,0,0,0,0,0,0,1,Other,0,0,0,0,0,0,0,0,0,Not frisked,do_not_include,1023388,243504
0,9636,5172012,950,Bronx,Male,White Hispanic,16,16 to 19,Not frisked,0,No contraband found,0,0,0,0,0,0,No gun found,No weapon found,No arrest made,0,No summons issued,2,5,0,0,0,0,0,0,0,0,0,Force not used,0,0,0,1,0,0,0,0,0,0,Suspect acting as a lookout,0,0,0,0,0,0,0,0,0,Not frisked,do_not_include,1004830,238446
0,9007,10192012,1229,Brooklyn,Male,White Hispanic,16,16 to 19,Not frisked,0,No contraband found,0,0,0,0,0,0,No gun found,No weapon found,No arrest made,0,No summons issued,1,5,0,0,0,0,0,0,0,0,0,Force not used,0,1,0,0,0,0,0,0,0,0,Fits a relevant description,1,0,0,0,0,0,0,0,0,Not frisked,do_not_include,996999,196888
0,1944,8232012,2245,Manhattan,Female,White,19,16 to 19,Not frisked,0,No contraband found,0,0,0,0,0,0,No gun found,No weapon found,No arrest made,1,Summons issued,1,5,0,0,0,0,0,0,0,0,0,Force not used,0,0,1,0,0,0,0,0,0,0,Casing a victim or location,0,0,0,0,0,0,0,0,0,Not frisked,do_not_include,985236,198021
0,5211,4162012,400,Manhattan,Male,Other,18,16 to 19,Not frisked,0,No contraband found,0,0,0,0,0,0,No gun found,No weapon found,No arrest made,0,No summons issued,1,25,0,0,0,0,0,0,0,0,0,Force not used,0,0,0,0,0,0,1,0,0,0,Furtive movements,0,0,0,0,0,0,0,0,0,Not frisked,do_not_include,1004500,250318
